
TreeSize Professional Report, 7/29/15  8:32 AM
  S:\Service\Radio Programs\   (\\REG1TRIFP01.tridon.local\Shared$\Service\Radio Programs\) (XML of 7/28/15)
 (XML of 7/28/15)Drive: S:\      Size: 1.4 TB      Used: 989.4 GB      Free: 444.1 GB         4096 Bytes per Cluster (NTFS)

Full Path      ,Size           ,Allocated      ,Files          ,Folders        ,% of Parent    ,Last Change    ,Last Access    ,Owner          
"S:\Service\Radio Programs\4 Refuel\",239.2 KB,240.0 KB,2 ,0 ,0.0 %,12/18/08,3/30/13,"Administrators"
"S:\Service\Radio Programs\E.Construction-111860\",202.5 KB,240.0 KB,15 ,1 ,0.0 %,4/20/15,4/20/15,"Administrators"
"S:\Service\Radio Programs\Suncor Energy MacKay River - 380320\",234.8 KB,240.0 KB,3 ,0 ,0.0 %,10/06/14,10/23/14,"Administrators"
"S:\Service\Radio Programs\1183090 AB Ltd\",229.0 KB,236.0 KB,2 ,0 ,0.0 %,1/19/11,3/06/14,"Administrators"
"S:\Service\Radio Programs\Enbridge\",227.1 KB,236.0 KB,3 ,0 ,0.0 %,10/07/13,7/15/14,"Administrators"
"S:\Service\Radio Programs\Nokohoo's Consulting\",234.7 KB,236.0 KB,1 ,0 ,0.0 %,1/29/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Suncor - Mannix\",231.2 KB,236.0 KB,2 ,0 ,0.0 %,10/20/09,8/07/14,"Administrators"
"S:\Service\Radio Programs\Levitt Safety\",227.4 KB,232.0 KB,2 ,0 ,0.0 %,5/13/09,3/30/13,"Administrators"
"S:\Service\Radio Programs\BP Pet\",221.3 KB,224.0 KB,3 ,0 ,0.0 %,1/04/12,7/15/14,"Administrators"
"S:\Service\Radio Programs\Reaper consulting\",216.6 KB,224.0 KB,2 ,0 ,0.0 %,11/28/14,11/28/14,"Administrators"
"S:\Service\Radio Programs\DONAVIDE TRUCKING LTD-111080\",218.8 KB,220.0 KB,1 ,0 ,0.0 %,1/10/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\KEARL\",204.8 KB,220.0 KB,7 ,0 ,0.0 %,1/17/09,3/30/13,"Administrators"
"S:\Service\Radio Programs\Lasso-122890\",209.7 KB,216.0 KB,5 ,1 ,0.0 %,8/15/14,8/19/14,"Administrators"
"S:\Service\Radio Programs\CCS Landfill Services\",201.5 KB,208.0 KB,3 ,0 ,0.0 %,7/21/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Tri City Gravel AKA Site Energy\",179.6 KB,208.0 KB,13 ,0 ,0.0 %,12/14/12,5/31/13,"Administrators"
"S:\Service\Radio Programs\Alberta Pilot Truck Alliance\",189.3 KB,196.0 KB,2 ,0 ,0.0 %,2/26/15,2/28/15,"Administrators"
"S:\Service\Radio Programs\Garda Security-119420\",188.5 KB,196.0 KB,4 ,0 ,0.0 %,2/24/15,2/24/15,"Administrators"
"S:\Service\Radio Programs\Sunset Recycling\",189.9 KB,196.0 KB,2 ,0 ,0.0 %,3/23/15,3/23/15,"Administrators"
"S:\Service\Radio Programs\ATHABASCA OIL SANDS CORP\",184.3 KB,192.0 KB,5 ,0 ,0.0 %,1/27/15,4/15/15,"Administrators"
"S:\Service\Radio Programs\DEVON - 110720\",184.5 KB,192.0 KB,2 ,0 ,0.0 %,3/22/13,7/15/14,"Administrators"
"S:\Service\Radio Programs\Muskeg Mountain - 127760\",171.1 KB,192.0 KB,10 ,0 ,0.0 %,9/20/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\RDA Industries Ltd\",185.0 KB,192.0 KB,3 ,0 ,0.0 %,5/24/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Air MikisewLdt.-100810\",181.9 KB,188.0 KB,2 ,0 ,0.0 %,3/17/15,3/17/15,"Administrators"
"S:\Service\Radio Programs\Clear Water Hauling\",179.3 KB,184.0 KB,2 ,0 ,0.0 %,3/10/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Coneco Equipment\",177.2 KB,184.0 KB,2 ,0 ,0.0 %,7/31/07,3/30/13,"Administrators"
"S:\Service\Radio Programs\Coneco Equipment-108660\",177.2 KB,184.0 KB,2 ,1 ,0.0 %,7/31/07,10/25/12,"Administrators"
"S:\Service\Radio Programs\HSE Integrated Ltd.-153085\",170.1 KB,184.0 KB,5 ,0 ,0.0 %,12/13/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Kiewit Energy-188819\",180.5 KB,184.0 KB,2 ,4 ,0.0 %,10/15/05,7/15/14,"Administrators"
"S:\Service\Radio Programs\Michels Canada - 169220\",180.4 KB,184.0 KB,1 ,0 ,0.0 %,10/21/13,10/21/13,"Administrators"
"S:\Service\Radio Programs\Paladin Security Group Ltd - 178316\",176.1 KB,184.0 KB,4 ,0 ,0.0 %,12/11/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Jenkat\",177.7 KB,180.0 KB,1 ,0 ,0.0 %,3/17/15,3/25/15,"Administrators"
"S:\Service\Radio Programs\Keyano College\",165.7 KB,176.0 KB,3 ,0 ,0.0 %,5/22/15,5/22/15,"Administrators"
"S:\Service\Radio Programs\Prairie North Const. Ltd\",163.8 KB,176.0 KB,5 ,0 ,0.0 %,9/05/14,10/17/14,"Administrators"
"S:\Service\Radio Programs\Ace Trucking\",162.6 KB,172.0 KB,4 ,0 ,0.0 %,4/05/12,3/06/14,"Administrators"
"S:\Service\Radio Programs\Norlights Construction-128500\",168.9 KB,172.0 KB,3 ,1 ,0.0 %,10/20/09,7/15/14,"Administrators"
"S:\Service\Radio Programs\BP SEISMIC\",165.8 KB,168.0 KB,2 ,0 ,0.0 %,12/14/11,12/19/13,"Administrators"
"S:\Service\Radio Programs\Canadian Helicopter\",164.3 KB,168.0 KB,1 ,0 ,0.0 %,9/09/13,9/09/13,"Administrators"
"S:\Service\Radio Programs\Carmacks Ent. - 106960\",164.3 KB,168.0 KB,1 ,0 ,0.0 %,4/29/14,10/16/14,"Administrators"
"S:\Service\Radio Programs\GRIZZLY OIL SANDS RENTAL\",164.3 KB,168.0 KB,1 ,0 ,0.0 %,1/11/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\KETEK-\",156.9 KB,168.0 KB,3 ,0 ,0.0 %,1/02/13,2/04/14,"Administrators"
"S:\Service\Radio Programs\MISWACO\",164.3 KB,168.0 KB,1 ,0 ,0.0 %,1/21/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\Parkland Industries Limited - 213516\",164.3 KB,168.0 KB,1 ,0 ,0.0 %,1/08/14,1/27/14,"Administrators"
"S:\Service\Radio Programs\AC&T - 100550\",160.8 KB,164.0 KB,3 ,0 ,0.0 %,2/24/11,10/27/14,"Administrators"
"S:\Service\Radio Programs\DON KELLER\",161.8 KB,164.0 KB,2 ,0 ,0.0 %,2/25/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Flint Energy-113480\",155.5 KB,164.0 KB,5 ,4 ,0.0 %,12/14/14,12/30/14,"Administrators"
"S:\Service\Radio Programs\Noremac Ventures\",155.0 KB,164.0 KB,4 ,1 ,0.0 %,9/14/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Paramount Energy-129690\",148.6 KB,164.0 KB,8 ,1 ,0.0 %,8/07/08,9/03/14,"Administrators"
"S:\Service\Radio Programs\Burnco\",150.2 KB,160.0 KB,3 ,0 ,0.0 %,9/16/08,3/30/13,"Administrators"
"S:\Service\Radio Programs\G4S Secure Solutions Canada - 233815\",157.3 KB,160.0 KB,2 ,0 ,0.0 %,7/23/14,7/24/14,"Administrators"
"S:\Service\Radio Programs\TSM Safety Services\",151.8 KB,160.0 KB,3 ,1 ,0.0 %,1/10/14,10/08/14,"Administrators"
"S:\Service\Radio Programs\Amec Infrastructure\",150.6 KB,156.0 KB,2 ,0 ,0.0 %,6/25/14,6/25/14,"Administrators"
"S:\Service\Radio Programs\ERS Transport Ltd - 225058\",143.1 KB,156.0 KB,5 ,0 ,0.0 %,11/20/14,11/20/14,"Administrators"
"S:\Service\Radio Programs\Janes Brothers\",146.0 KB,156.0 KB,4 ,0 ,0.0 %,1/07/09,3/30/13,"Administrators"
"S:\Service\Radio Programs\Beck Drilling & Enviroment\",135.9 KB,152.0 KB,7 ,0 ,0.0 %,3/22/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Glen Strachan Trucking\",148.6 KB,152.0 KB,1 ,0 ,0.0 %,2/07/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\SGS\",144.3 KB,152.0 KB,4 ,0 ,0.0 %,2/16/12,4/25/13,"Administrators"
"S:\Service\Radio Programs\Galloway\",146.4 KB,148.0 KB,1 ,0 ,0.0 %,9/13/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Seisline Resource-179242\",140.9 KB,148.0 KB,6 ,1 ,0.0 %,2/03/09,10/25/12,"Administrators"
"S:\Service\Radio Programs\A C & T\",141.3 KB,144.0 KB,2 ,0 ,0.0 %,6/23/09,4/11/13,"Administrators"
"S:\Service\Radio Programs\Chief Hauling-107710\",138.4 KB,140.0 KB,2 ,0 ,0.0 %,10/20/09,7/28/14,"Administrators"
"S:\Service\Radio Programs\FORT MCMURRAY GOLF CLUB - 113780\",132.8 KB,140.0 KB,4 ,0 ,0.0 %,6/12/14,7/15/14,"Administrators"
"S:\Service\Radio Programs\Kal Tire-120750\",136.9 KB,140.0 KB,3 ,0 ,0.0 %,6/26/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\MMLP  Muskeg Mountain\",129.9 KB,140.0 KB,5 ,0 ,0.0 %,2/26/09,3/30/13,"Administrators"
"S:\Service\Radio Programs\WBA Wood Buffalo Alliance\",134.7 KB,136.0 KB,2 ,0 ,0.0 %,8/21/08,9/23/14,"Administrators"
"S:\Service\Radio Programs\Birch Mountain Enterprises - 165086\",122.7 KB,132.0 KB,4 ,0 ,0.0 %,4/14/11,7/15/14,"Administrators"
"S:\Service\Radio Programs\PARADOX ACCESS SOLUTIONS - 234513\",125.2 KB,132.0 KB,2 ,0 ,0.0 %,2/07/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\CENTERFIRE CONTRACTING LTD-168798\",124.6 KB,128.0 KB,2 ,0 ,0.0 %,2/09/12,3/10/14,"Administrators"
"S:\Service\Radio Programs\Les Shanks\",124.8 KB,128.0 KB,2 ,0 ,0.0 %,1/07/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\SYNERGY PROJECTS LTD-221225\",122.8 KB,128.0 KB,3 ,0 ,0.0 %,3/27/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\Caldwell Contracting - 161786\",116.2 KB,124.0 KB,4 ,0 ,0.0 %,2/23/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Steel Horse Contracting\",124.0 KB,124.0 KB,1 ,0 ,0.0 %,12/29/08,3/30/13,"Administrators"
"S:\Service\Radio Programs\Wabana Contracting\",120.5 KB,124.0 KB,3 ,0 ,0.0 %,6/26/15,6/29/15,"Tech.001"
"S:\Service\Radio Programs\Currie Trucking 211373\",113.0 KB,120.0 KB,3 ,0 ,0.0 %,6/28/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\First North Catering\",114.5 KB,120.0 KB,3 ,1 ,0.0 %,7/07/10,10/25/12,"Administrators"
"S:\Service\Radio Programs\Parsons Creek Aggregates-211373\",118.3 KB,120.0 KB,2 ,1 ,0.0 %,6/27/11,10/25/12,"Administrators"
"S:\Service\Radio Programs\Phoenix HeliFlight Inc\",114.2 KB,120.0 KB,3 ,0 ,0.0 %,8/16/13,6/19/14,"Administrators"
"S:\Service\Radio Programs\RENTALS\",111.2 KB,120.0 KB,3 ,0 ,0.0 %,11/07/13,11/07/13,"Administrators"
"S:\Service\Radio Programs\HCS Focus-117440\",109.4 KB,116.0 KB,3 ,0 ,0.0 %,9/17/14,10/01/14,"Administrators"
"S:\Service\Radio Programs\HRG TRUCKING LTD\",111.1 KB,116.0 KB,3 ,0 ,0.0 %,2/05/13,5/23/13,"Administrators"
"S:\Service\Radio Programs\Altex Energy - 143654\",104.6 KB,112.0 KB,2 ,0 ,0.0 %,12/23/13,3/06/14,"Administrators"
"S:\Service\Radio Programs\BP Exploration - Jack Marcy\",110.1 KB,112.0 KB,2 ,0 ,0.0 %,11/14/11,12/19/13,"Administrators"
"S:\Service\Radio Programs\Cobra Consulting Services Ltd-223979\",111.4 KB,112.0 KB,1 ,0 ,0.0 %,1/03/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\Saymon Trucking\",110.1 KB,112.0 KB,2 ,0 ,0.0 %,6/14/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\AXIS ENTERPRISES- 224826\",105.1 KB,108.0 KB,1 ,0 ,0.0 %,1/10/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\JP'S HAULING LTD-223405\",104.7 KB,108.0 KB,1 ,0 ,0.0 %,11/30/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\123 Development\",98.5 KB,104.0 KB,2 ,0 ,0.0 %,5/16/14,5/20/14,"Administrators"
"S:\Service\Radio Programs\Canadian Industrial & Construction Training - 172840\",101.9 KB,104.0 KB,1 ,0 ,0.0 %,2/27/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\Chard Camp Water Trucks\",101.9 KB,104.0 KB,1 ,0 ,0.0 %,11/18/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Hatch aka N-Solve - 231235\",100.0 KB,104.0 KB,3 ,0 ,0.0 %,1/25/13,7/15/14,"Administrators"
"S:\Service\Radio Programs\1566493 Alberta Ltd\",98.7 KB,100.0 KB,1 ,0 ,0.0 %,1/11/11,3/06/14,"Administrators"
"S:\Service\Radio Programs\Big Eagle Hydro Vac Services\",98.8 KB,100.0 KB,1 ,0 ,0.0 %,1/12/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\HORTON CBI\",96.3 KB,100.0 KB,1 ,0 ,0.0 %,3/12/14,3/12/14,"Administrators"
"S:\Service\Radio Programs\Aircon Technologies\",93.0 KB,96.0 KB,1 ,0 ,0.0 %,8/17/09,3/30/13,"Administrators"
"S:\Service\Radio Programs\Summit Civil LTD - 141807\",83.0 KB,96.0 KB,4 ,0 ,0.0 %,3/09/15,3/09/15,"Administrators"
"S:\Service\Radio Programs\R BEE CRUSHING\",84.4 KB,92.0 KB,2 ,0 ,0.0 %,7/22/15,7/22/15,"Tech.001"
"S:\Service\Radio Programs\AQUA Industrial\",86.8 KB,88.0 KB,1 ,0 ,0.0 %,9/18/08,3/30/13,"Administrators"
"S:\Service\Radio Programs\Express Indegrated Technologies - 228176\",82.2 KB,88.0 KB,2 ,0 ,0.0 %,4/30/13,6/03/13,"Administrators"
"S:\Service\Radio Programs\Scotian welding inc\",82.5 KB,88.0 KB,2 ,0 ,0.0 %,2/10/15,2/24/15,"Administrators"
"S:\Service\Radio Programs\Access Taxi\",80.6 KB,84.0 KB,2 ,0 ,0.0 %,11/21/08,10/17/14,"Administrators"
"S:\Service\Radio Programs\ALLAN NORMAN-224853\",83.6 KB,84.0 KB,1 ,0 ,0.0 %,1/16/12,3/06/14,"Administrators"
"S:\Service\Radio Programs\Cougar Geology\",76.4 KB,84.0 KB,4 ,0 ,0.0 %,1/02/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\Davco Welding Ltd - 246910\",75.2 KB,84.0 KB,3 ,0 ,0.0 %,10/30/14,11/24/14,"Administrators"
"S:\Service\Radio Programs\Northern Lights Regional Health Authority\",82.5 KB,84.0 KB,1 ,1 ,0.0 %,12/02/08,10/25/12,"Administrators"
"S:\Service\Radio Programs\O.J. Pipelines Canada - 128920\",79.4 KB,84.0 KB,2 ,0 ,0.0 %,1/04/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\Powermax Contracting LTD\",78.6 KB,84.0 KB,2 ,0 ,0.0 %,2/19/15,2/24/15,"Administrators"
"S:\Service\Radio Programs\SAVARD CONSTRUCTION-190584\",82.9 KB,84.0 KB,1 ,0 ,0.0 %,10/21/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Thompson Bros. (Constr.) LP\",80.9 KB,84.0 KB,1 ,0 ,0.0 %,12/14/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\VNB CONTRACTING LTD-224883\",82.6 KB,84.0 KB,1 ,0 ,0.0 %,1/19/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\Waste Management Canada-141360\",83.0 KB,84.0 KB,1 ,0 ,0.0 %,3/13/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\Fort McKay Enterprises Ltd.-113660\",78.5 KB,80.0 KB,1 ,0 ,0.0 %,11/02/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\HOT SHOT ROADRUNNERS\",76.3 KB,80.0 KB,1 ,0 ,0.0 %,2/02/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Simplex Grinnell\",78.7 KB,80.0 KB,2 ,0 ,0.0 %,6/26/14,7/15/14,"Administrators"
"S:\Service\Radio Programs\Swamp Catz\",68.4 KB,80.0 KB,3 ,0 ,0.0 %,8/10/10,7/15/14,"Administrators"
"S:\Service\Radio Programs\GEOTIR-176396\",74.2 KB,76.0 KB,1 ,0 ,0.0 %,2/26/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\MLE Equipment Ltd - 225033\",75.0 KB,76.0 KB,1 ,0 ,0.0 %,1/16/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\Suncor Energy Logistics\",71.7 KB,76.0 KB,2 ,0 ,0.0 %,11/18/13,11/18/13,"Administrators"
"S:\Service\Radio Programs\United Protection Services\",72.8 KB,76.0 KB,2 ,0 ,0.0 %,6/22/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\First Class Cabs (Rental)\",70.3 KB,72.0 KB,1 ,0 ,0.0 %,9/30/08,3/30/13,"Administrators"
"S:\Service\Radio Programs\Jacobs - Rental\",67.3 KB,72.0 KB,2 ,0 ,0.0 %,10/08/14,10/28/14,"Administrators"
"S:\Service\Radio Programs\Shale Chemtek\",70.7 KB,72.0 KB,1 ,0 ,0.0 %,12/21/07,3/30/13,"Administrators"
"S:\Service\Radio Programs\Cat the rental store\",61.3 KB,68.0 KB,3 ,0 ,0.0 %,6/05/14,9/12/14,"Administrators"
"S:\Service\Radio Programs\E&N Trucking\",67.6 KB,68.0 KB,1 ,0 ,0.0 %,2/19/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\Horizon North Camps & Catering\",49.1 KB,68.0 KB,7 ,0 ,0.0 %,10/25/13,7/15/14,"Administrators"
"S:\Service\Radio Programs\Hugh MacIntosh - 240941\",67.1 KB,68.0 KB,2 ,0 ,0.0 %,10/09/13,9/11/14,"Administrators"
"S:\Service\Radio Programs\Laybourne Enterprises Ltd - 123050\",63.3 KB,68.0 KB,2 ,0 ,0.0 %,8/24/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\Matrix RENTALS\",67.7 KB,68.0 KB,1 ,0 ,0.0 %,10/22/08,3/30/13,"Administrators"
"S:\Service\Radio Programs\Skyway Canada-173034\",63.5 KB,68.0 KB,2 ,1 ,0.0 %,5/18/11,10/25/12,"Administrators"
"S:\Service\Radio Programs\ACFN ALLNORTH CONSULTANTS LIMITED\",61.2 KB,64.0 KB,1 ,0 ,0.0 %,3/09/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\C P Services\",60.7 KB,64.0 KB,1 ,0 ,0.0 %,8/13/07,3/30/13,"Administrators"
"S:\Service\Radio Programs\Clark Builders - 206120\",54.2 KB,64.0 KB,4 ,1 ,0.0 %,6/12/14,7/29/14,"Administrators"
"S:\Service\Radio Programs\Gregoire Tower\",62.5 KB,64.0 KB,1 ,0 ,0.0 %,11/05/07,7/15/14,"Administrators"
"S:\Service\Radio Programs\OX MECHANICAL\",59.7 KB,64.0 KB,2 ,0 ,0.0 %,1/24/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Premay Equipment - 131750\",60.1 KB,64.0 KB,3 ,0 ,0.0 %,5/12/14,5/12/14,"Administrators"
"S:\Service\Radio Programs\Wood Buffalo Co-Op Taxi - RENTALS RADIOS\",58.8 KB,64.0 KB,2 ,0 ,0.0 %,4/30/10,9/23/14,"Administrators"
"S:\Service\Radio Programs\Bertram Drilling Corp\",53.6 KB,60.0 KB,3 ,0 ,0.0 %,2/12/09,3/06/14,"Administrators"
"S:\Service\Radio Programs\JV Driver (CNRL)-119600\",54.3 KB,60.0 KB,2 ,1 ,0.0 %,4/01/15,4/02/15,"Administrators"
"S:\Service\Radio Programs\McMurray Serv U-126310\",55.3 KB,60.0 KB,2 ,0 ,0.0 %,5/05/10,9/19/13,"Administrators"
"S:\Service\Radio Programs\Mystic Services\",58.6 KB,60.0 KB,1 ,0 ,0.0 %,2/04/09,3/30/13,"Administrators"
"S:\Service\Radio Programs\Transwest\",56.5 KB,60.0 KB,2 ,0 ,0.0 %,8/17/06,7/15/14,"Administrators"
"S:\Service\Radio Programs\1043389 AB Ltd\",55.2 KB,56.0 KB,1 ,0 ,0.0 %,7/29/14,7/29/14,"Administrators"
"S:\Service\Radio Programs\1790326 Alberta LTD\",55.2 KB,56.0 KB,1 ,0 ,0.0 %,6/26/14,6/26/14,"Administrators"
"S:\Service\Radio Programs\AC&T RENTAL\",52.0 KB,56.0 KB,1 ,0 ,0.0 %,6/14/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\BLUE WAVE ENERGY\",52.3 KB,56.0 KB,1 ,1 ,0.0 %,2/05/13,2/05/13,"Administrators"
"S:\Service\Radio Programs\CLH CONTRACTING-223997\",55.1 KB,56.0 KB,1 ,0 ,0.0 %,12/16/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Cougar Fuels Ltd (Athabasca)-109030\",55.2 KB,56.0 KB,1 ,0 ,0.0 %,1/14/14,1/14/14,"Administrators"
"S:\Service\Radio Programs\Elite Automotive Concepts\",52.3 KB,56.0 KB,1 ,0 ,0.0 %,12/10/14,12/10/14,"Administrators"
"S:\Service\Radio Programs\Grizzley Oil Sands Ltd\",55.1 KB,56.0 KB,1 ,0 ,0.0 %,5/17/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\Heavy Bee Mechanical\",55.2 KB,56.0 KB,1 ,0 ,0.0 %,7/03/15,7/03/15,"Tech.001"
"S:\Service\Radio Programs\Image Pipelines Services - 200214\",55.2 KB,56.0 KB,1 ,0 ,0.0 %,8/05/14,8/05/14,"Administrators"
"S:\Service\Radio Programs\Lincoln County Oilfield Services\",55.6 KB,56.0 KB,1 ,0 ,0.0 %,7/17/13,7/17/13,"Administrators"
"S:\Service\Radio Programs\NS SAHOTA TRUCKING LTD-225119\",55.1 KB,56.0 KB,1 ,0 ,0.0 %,1/19/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\OILFIELD LABOR SERVICES LTD-223675\",55.6 KB,56.0 KB,1 ,0 ,0.0 %,12/08/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Pattar Trucking Ltd\",52.3 KB,56.0 KB,1 ,0 ,0.0 %,5/14/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\Pebble pusher 2010\",52.3 KB,56.0 KB,1 ,0 ,0.0 %,6/08/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\PINION CONTRACTING\",52.3 KB,56.0 KB,1 ,0 ,0.0 %,1/11/13,3/30/13,"Administrators"
"S:\Service\Radio Programs\Questar\",52.3 KB,56.0 KB,1 ,0 ,0.0 %,2/12/09,3/30/13,"Administrators"
"S:\Service\Radio Programs\Sim Transport\",55.2 KB,56.0 KB,1 ,0 ,0.0 %,6/26/14,6/26/14,"Administrators"
"S:\Service\Radio Programs\Source Agregates\",55.2 KB,56.0 KB,1 ,0 ,0.0 %,11/27/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\Suncor Energy Services\",50.1 KB,56.0 KB,2 ,0 ,0.0 %,7/29/14,2/24/15,"Administrators"
"S:\Service\Radio Programs\TCHIR FOREST PRODUCTS\",55.1 KB,56.0 KB,1 ,1 ,0.0 %,1/21/13,2/07/13,"Administrators"
"S:\Service\Radio Programs\TREMBLAY, DARYL-223886\",52.3 KB,56.0 KB,1 ,0 ,0.0 %,12/12/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Viking Refridgeration-242892\",55.2 KB,56.0 KB,1 ,0 ,0.0 %,1/17/14,1/17/14,"Administrators"
"S:\Service\Radio Programs\1726871 Alberta Ltd\",48.4 KB,52.0 KB,1 ,1 ,0.0 %,11/28/13,3/06/14,"Administrators"
"S:\Service\Radio Programs\ESS-First North Catering-113230\",46.8 KB,52.0 KB,3 ,0 ,0.0 %,6/07/10,7/15/14,"Administrators"
"S:\Service\Radio Programs\Fort McMurray General Contracting\",27.1 KB,52.0 KB,13 ,0 ,0.0 %,1/08/09,3/06/14,"Administrators"
"S:\Service\Radio Programs\Janvier Fabrications - 244935\",44.3 KB,48.0 KB,1 ,0 ,0.0 %,4/25/14,4/25/14,"Administrators"
"S:\Service\Radio Programs\M.Pidherney Trucking Ltd\",32.3 KB,48.0 KB,4 ,0 ,0.0 %,11/23/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Sierra Lane Contruction - 233119\",45.2 KB,48.0 KB,1 ,0 ,0.0 %,11/16/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\SUPERIOR PROPANE\",33.1 KB,48.0 KB,7 ,0 ,0.0 %,1/05/12,3/30/13,"Administrators"
"S:\Service\Radio Programs\Black Gold Medical\",41.9 KB,44.0 KB,2 ,0 ,0.0 %,4/01/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Byroage NG Mulching\",37.2 KB,44.0 KB,2 ,0 ,0.0 %,1/24/11,3/30/13,"Administrators"
"S:\Service\Radio Programs\Dean Mackenzie-201759\",43.5 KB,44.0 KB,1 ,0 ,0.0 %,2/25/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Destiny Resources 2010\",40.5 KB,44.0 KB,1 ,0 ,0.0 %,9/17/10,7/15/14,"Administrators"
"S:\Service\Radio Programs\Express Integrated - 228176\",41.5 KB,44.0 KB,1 ,0 ,0.0 %,1/25/13,5/01/13,"Administrators"
"S:\Service\Radio Programs\Hines Industrial\",41.8 KB,44.0 KB,1 ,0 ,0.0 %,6/23/14,7/10/14,"Administrators"
"S:\Service\Radio Programs\Kearl Drill 08\",42.0 KB,44.0 KB,1 ,0 ,0.0 %,10/20/09,3/30/13,"Administrators"
"S:\Service\Radio Programs\PARKLAND-GEO - 220794\",38.2 KB,44.0 KB,2 ,1 ,0.0 %,3/01/13,7/15/14,"Administrators"
"S:\Service\Radio Programs\RCMP Municipal-580010\",39.3 KB,44.0 KB,3 ,1 ,0.0 %,5/05/11,3/06/14,"Administrators"
"S:\Service\Radio Programs\Allnite\",37.1 KB,40.0 KB,1 ,0 ,0.0 %,1/05/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Bear Slashing\",32.0 KB,40.0 KB,2 ,0 ,0.0 %,1/04/10,3/30/13,"Administrators"
"S:\Service\Radio Programs\Jung Field Services Ltd\",37.0 KB,40.0 KB,1 ,0 ,0.0 %,11/03/10,3/06/14,"Administrators"
"S:\Service\Radio Programs\Ridgeline\",24.8 KB,40.0 KB,4 ,0 ,0.0 %,5/14/15,5/14/15,"Administrators"
"S:\Service\Radio Programs\Trans Canada Energy\",37.4 KB,40.0 KB,1 ,0 ,0.0 %,10/07/14,10/07/14,"Administrators"
"S:\Service\Radio Programs\Athabaskan Resource Company\",33.3 KB,36.0 KB,1 ,0 ,0.0 %,6/09/11,8/26/14,"Administrators"
"S:\Service\Radio Programs\Cartel ESS boxes\",26.1 KB,36.0 KB,3 ,0 ,0.0 %,6/11/08,3/30/13,"Administrators"
"S:\Service\Radio Programs\Citizen Band\",32.1 KB,36.0 KB,2 ,0 ,0.0 %,3/17/15,3/17/15,"Administrators"
